,Mean,25th,50th,75th
325,159.33233618233618,75.0,116.0,191.0
326,153.7806323173911,73.0,110.0,181.0
327,153.6274556269106,73.0,110.0,181.0
328,153.64563141306667,73.0,110.0,181.0
329,153.76979951656477,73.0,110.0,181.0
330,153.92282531405547,73.0,110.0,182.0
331,159.33611130897262,75.0,116.0,190.0
332,159.446684236769,75.0,116.0,191.0
333,153.88292729168643,73.0,110.0,182.0
334,153.59044053176615,73.0,110.0,181.0
335,153.63248815165878,73.0,110.0,181.0
336,153.75191355245386,73.0,110.0,182.0
337,153.96634672354546,73.0,110.0,182.0
338,159.40402649509747,75.0,116.0,191.0
339,159.49135761432166,75.0,116.0,191.0
340,153.98310306419887,73.0,110.0,182.0
341,153.73511848341232,73.0,110.0,182.0
342,153.75236380009005,73.0,110.0,182.0
343,153.8580975401678,73.0,110.0,182.0
344,154.08439588567094,73.0,110.0,182.0
345,159.89746390577508,75.0,116.0,192.0
346,160.02044547872342,75.0,116.0,193.0
347,154.26868183973448,73.0,110.0,183.0
348,154.03486938794862,73.0,110.0,182.0
349,153.76708692767087,73.0,110.0,182.0
350,153.813902780082,73.0,110.0,182.0
351,153.98366834170855,73.0,110.0,182.0
352,159.4419830472256,75.0,116.0,191.0
353,159.55234228458818,75.0,116.0,191.0
354,153.9806365984879,73.0,110.0,182.0
355,153.74604829727232,73.0,110.0,182.0
356,153.73498115979808,73.0,110.0,182.0
357,153.79146324121913,73.0,110.0,182.0
358,153.94993837110079,73.0,110.0,182.0
359,159.3736109792003,75.0,116.0,191.0
360,159.5225918275281,75.0,116.0,191.0
361,154.12404313307263,73.0,110.0,182.0
362,154.37505035903027,73.0,110.0,182.0
363,154.02649791429656,73.0,110.0,182.0
364,153.80072051573757,73.0,110.0,182.0
